"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0~9세","2024년06월_계_10~19세","2024년06월_계_20~29세","2024년06월_계_30~39세","2024년06월_계_40~49세","2024년06월_계_50~59세","2024년06월_계_60~69세","2024년06월_계_70~79세","2024년06월_계_80~89세","2024년06월_계_90~99세","2024년06월_계_100세 이상"
"충청북도 청주시 서원구 사직2동(4311252000)","12,457","12,457","1,067","1,300","1,155","1,546","1,925","1,904","2,077","941","456","86","0"
"충청북도 청주시 서원구 사창동(4311253000)","14,140","14,140","447","815","3,306","2,041","1,663","1,968","1,974","1,249","619","57","1"
"충청북도 청주시 서원구 모충동(4311254000)","17,006","17,006","853","1,117","2,711","2,259","1,960","2,771","2,976","1,517","735","104","3"
"충청북도 청주시 서원구 산남동(4311255000)","25,206","25,206","1,704","3,517","3,289","2,732","4,380","5,028","2,679","1,210","561","104","2"
"충청북도 청주시 서원구 분평동(4311256000)","28,511","28,511","1,729","3,361","3,791","2,967","4,399","5,952","3,599","1,629","949","133","2"
"충청북도 청주시 서원구 수곡1동(4311257000)","12,767","12,767","381","816","1,779","1,278","1,459","2,281","2,519","1,418","748","85","3"
"충청북도 청주시 서원구 수곡2동(4311258000)","14,977","14,977","730","1,206","1,558","1,594","1,808","2,765","3,001","1,425","772","116","2"
"충청북도 청주시 서원구 성화.개신.죽림동(4311259000)","41,993","41,993","2,350","4,585","6,312","4,917","6,706","7,428","5,790","2,609","1,109","183","4"
"충청북도 청주시 흥덕구 (4311300000)","280,385","280,385","22,407","27,005","38,145","45,739","44,811","45,380","34,392","14,374","7,004","1,106","22"
"충청북도 청주시 흥덕구 오송읍(4311325000)","37,301","37,301","3,285","3,033","5,268","8,300","5,908","5,197","3,768","1,555","858","128","1"
"충청북도 청주시 흥덕구 강내면(4311331000)","10,313","10,313","500","966","1,280","989","1,412","1,926","1,778","877","499","84","2"
"충청북도 청주시 흥덕구 옥산면(4311332000)","17,295","17,295","1,873","1,339","1,460","2,847","2,784","2,662","2,526","1,096","610","97","1"
"충청북도 청주시 흥덕구 운천.신봉동(4311370000)","14,174","14,174","537","1,121","1,737","1,424","1,810","2,856","2,677","1,270","637","102","3"
"충청북도 청주시 흥덕구 복대1동(4311374100)","51,265","51,265","4,949","6,575","6,437","8,240","9,869","8,164","4,444","1,692","770","123","2"
"충청북도 청주시 흥덕구 복대2동(4311374200)","15,220","15,220","414","927","3,144","1,912","1,719","2,472","2,592","1,348","611","78","3"
"충청북도 청주시 흥덕구 가경동(4311374700)","53,689","53,689","4,183","6,195","6,581","6,587","8,769","10,071","7,323","2,648","1,149","179","4"
"충청북도 청주시 흥덕구 봉명1동(4311375100)","10,298","10,298","465","586","1,877","2,005","1,358","1,535","1,451","705","278","37","1"
"충청북도 청주시 흥덕구 봉명2.송정동(4311375600)","23,666","23,666","1,224","2,035","3,693","4,167","3,621","3,993","3,094","1,206","543","88","2"
"충청북도 청주시 흥덕구 강서제1동(4311376000)","30,802","30,802","2,151","2,677","4,944","5,182","4,655","4,943","3,725","1,580","798","144","3"
"충청북도 청주시 흥덕구 강서제2동(4311377000)","16,362","16,362","2,826","1,551","1,724","4,086","2,906","1,561","1,014","397","251","46","0"
"충청북도 청주시 청원구 (4311400000)","189,473","189,473","14,889","19,823","23,541","27,462","31,778","29,056","23,970","11,454","6,470","1,010","20"
"충청북도 청주시 청원구 내수읍(4311425000)","18,591","18,591","952","1,680","2,108","1,756","2,559","3,629","3,236","1,504","996","166","5"
"충청북도 청주시 청원구 오창읍(4311425300)","68,303","68,303","7,679","8,355","7,621","12,853","13,672","8,635","5,572","2,426","1,262","226","2"
"충청북도 청주시 청원구 북이면(4311431000)","4,247","4,247","64","134","230","277","355","721","1,164","715","497","88","2"
"충청북도 청주시 청원구 우암동(4311451000)","12,146","12,146","389","749","2,188","1,415","1,352","1,855","2,025","1,289","784","99","1"
"충청북도 청주시 청원구 내덕1동(4311452000)","7,911","7,911","242","457","874","735","918","1,422","1,607","987","593","75","1"
"충청북도 청주시 청원구 내덕2동(4311453000)","12,981","12,981","673","1,040","1,929","1,536","1,726","2,223","2,027","1,148","616","62","1"
"충청북도 청주시 청원구 율량.사천동(4311454000)","47,680","47,680","3,224","4,855","6,885","6,655","7,570","8,150","6,409","2,487","1,226","213","6"
"충청북도 청주시 청원구 오근장동(4311455000)","17,614","17,614","1,666","2,553","1,706","2,235","3,626","2,421","1,930","898","496","81","2"
"충청북도 충주시 (4313000000)","207,468","207,468","11,791","17,716","21,501","22,320","28,522","36,700","36,772","18,890","11,452","1,759","45"
"충청북도 충주시 주덕읍(4313025000)","4,706","4,706","85","181","331","297","393","878","1,307","674","477","82","1"
"충청북도 충주시 살미면(4313031000)","1,952","1,952","32","45","66","90","112","347","633","371","208","43","5"
"충청북도 충주시 수안보면(4313032500)","2,826","2,826","53","99","136","144","215","469","864","487","314","44","1"
"충청북도 충주시 대소원면(4313033500)","10,007","10,007","654","509","1,588","1,589","1,346","1,551","1,591","667","440","71","1"
"충청북도 충주시 신니면(4313035000)","2,735","2,735","28","58","95","131","176","465","844","485","384","67","2"
"충청북도 충주시 노은면(4313036000)","2,181","2,181","29","74","79","79","146","327","675","448","279","44","1"
"충청북도 충주시 앙성면(4313037000)","3,907","3,907","41","104","197","173","251","739","1,178","701","425","98","0"
"충청북도 충주시 중앙탑면(4313038500)","14,875","14,875","1,998","1,458","1,259","3,291","2,715","1,754","1,378","619","344","59","0"
"충청북도 충주시 금가면(4313039000)","3,869","3,869","245","259","594","468","481","516","653","356","248","49","0"
"충청북도 충주시 동량면(4313040000)","3,423","3,423","82","124","186","151","237","620","961","552","430","76","4"
"충청북도 충주시 산척면(4313041000)","2,156","2,156","31","61","105","94","154","347","637","379","298","50","0"
"충청북도 충주시 엄정면(4313042000)","2,999","2,999","51","121","115","135","200","470","914","507","401","82","3"
"충청북도 충주시 소태면(4313043000)","1,857","1,857","38","77","67","77","116","288","574","330","254","35","1"
"충청북도 충주시 성내.충인동(4313051500)","2,453","2,453","79","129","220","174","269","411","528","371","239","33","0"
"충청북도 충주시 교현.안림동(4313053500)","22,385","22,385","1,265","2,245","2,233","2,023","3,271","4,235","3,899","1,911","1,133","164","6"
"충청북도 충주시 교현2동(4313054000)","6,288","6,288","179","415","670","524","746","1,131","1,217","844","496","65","1"
"충청북도 충주시 용산동(4313055000)","14,095","14,095","818","1,818","1,474","1,288","2,435","2,707","1,965","938","584","66","2"
"충청북도 충주시 지현동(4313056000)","4,940","4,940","180","429","492","382","643","861","945","589","375","44","0"
"충청북도 충주시 문화동(4313057100)","8,902","8,902","250","554","849","694","1,004","1,598","1,911","1,286","663","92","1"
"충청북도 충주시 호암.직동(4313058000)","22,314","22,314","2,133","2,729","2,591","3,570","3,982","3,455","2,372","963","444","71","4"
"충청북도 충주시 달천동(4313060500)","4,024","4,024","54","141","776","249","337","699","916","477","324","51","0"
"충청북도 충주시 봉방동(4313061000)","9,182","9,182","386","684","986","962","1,219","1,788","1,689","946","465","54","3"
"충청북도 충주시 칠금.금릉동(4313062500)","13,815","13,815","729","1,481","1,597","1,337","1,943","2,904","2,212","998","549","62","3"
"충청북도 충주시 연수동(4313063000)","35,218","35,218","1,952","3,306","4,125","3,709","5,137","6,841","5,925","2,578","1,431","209","5"
"충청북도 충주시 목행.용탄동(4313064000)","6,359","6,359","399","615","670","689","994","1,299","984","413","247","48","1"
"충청북도 제천시 (4315000000)","129,618","129,618","6,739","11,094","13,800","11,422","16,015","23,063","25,107","13,657","7,662","1,027","32"
"충청북도 제천시 봉양읍(4315025000)","6,639","6,639","192","300","406","383","550","1,215","1,843","1,011","634","103","2"
"충청북도 제천시 금성면(4315031000)","1,800","1,800","28","69","83","92","122","275","559","303","224","43","2"
"충청북도 제천시 청풍면(4315032000)","1,258","1,258","19","41","50","56","74","220","410","224","149","15","0"
"충청북도 제천시 수산면(4315033000)","1,986","1,986","29","46","60","61","95","363","653","395","248","35","1"
"충청북도 제천시 덕산면(4315034000)","2,121","2,121","53","166","80","73","132","321","607","419","232","38","0"
"충청북도 제천시 한수면(4315035000)","655","655","12","25","25","28","62","122","188","112","70","11","0"
"충청북도 제천시 백운면(4315036000)","3,330","3,330","59","138","140","140","185","538","1,089","587","390","63","1"
"충청북도 제천시 송학면(4315038000)","4,643","4,643","87","185","352","222","316","789","1,378","789","457","67","1"
"충청북도 제천시 교동(4315051000)","17,796","17,796","1,178","2,041","1,948","1,707","2,751","3,552","2,695","1,235","623","64","2"
"충청북도 제천시 의림지동(4315051800)","10,001","10,001","642","1,018","1,475","892","1,359","1,850","1,577","717","404","62","5"
"충청북도 제천시 중앙동(4315052800)","5,386","5,386","205","346","518","407","601","937","1,136","777","414","44","1"
"충청북도 제천시 남현동(4315053700)","4,715","4,715","142","273","478","376","495","786","1,086","706","346","25","2"
"충청북도 제천시 영서동(4315054700)","9,878","9,878","656","889","871","959","1,414","1,721","1,715","1,023","554","73","3"
"충청북도 제천시 용두동(4315056000)","18,986","18,986","1,129","2,085","3,238","2,135","2,408","3,138","2,811","1,233","700","107","2"
"충청북도 제천시 신백동(4315057700)","10,585","10,585","497","1,009","1,174","872","1,401","2,180","1,822","1,004","564","58","4"
"충청북도 제천시 청전동(4315059000)","14,947","14,947","516","997","1,569","1,289","1,702","2,604","3,317","1,905","921","124","3"
"충청북도 제천시 화산동(4315060500)","14,892","14,892","1,295","1,466","1,333","1,730","2,348","2,452","2,221","1,217","732","95","3"
"충청북도 보은군 (4372000000)","30,735","30,735","1,050","1,830","1,883","1,781","2,752","5,200","7,658","4,603","3,339","630","9"
"충청북도 보은군 보은읍(4372025000)","14,268","14,268","757","1,200","1,157","1,091","1,651","2,605","2,882","1,646","1,074","200","5"
"충청북도 보은군 속리산면(4372031500)","1,715","1,715","18","49","92","58","101","340","505","320","202","30","0"
"충청북도 보은군 장안면(4372032500)","1,403","1,403","61","70","100","106","142","239","308","184","163","30","0"
"충청북도 보은군 마로면(4372033000)","2,077","2,077","33","93","67","65","116","290","645","405","313","49","1"
"충청북도 보은군 탄부면(4372034000)","1,553","1,553","18","35","56","56","83","224","436","311","280","54","0"
"충청북도 보은군 삼승면(4372035000)","2,195","2,195","43","96","126","146","192","313","586","354","301","38","0"
"충청북도 보은군 수한면(4372036000)","1,782","1,782","30","77","72","56","123","253","575","327","223","46","0"
"충청북도 보은군 회남면(4372037000)","714","714","15","24","13","22","32","105","242","158","88","15","0"
"충청북도 보은군 회인면(4372038500)","1,693","1,693","29","80","54","60","95","257","495","330","235","56","2"
"충청북도 보은군 내북면(4372039000)","1,632","1,632","21","52","67","58","105","277","461","288","235","68","0"
"충청북도 보은군 산외면(4372040000)","1,703","1,703","25","54","79","63","112","297","523","280","225","44","1"
"충청북도 옥천군 (4373000000)","48,586","48,586","1,846","3,557","3,665","3,131","5,387","8,498","10,891","6,685","4,159","747","20"
"충청북도 옥천군 옥천읍(4373025000)","28,224","28,224","1,506","2,894","2,808","2,286","4,025","5,114","4,909","2,892","1,555","229","6"
"충청북도 옥천군 동이면(4373031000)","3,110","3,110","61","106","148","149","226","566","924","506","348","72","4"
"충청북도 옥천군 안남면(4373032000)","1,347","1,347","36","49","45","49","72","211","410","252","180","43","0"
"충청북도 옥천군 안내면(4373033000)","1,889","1,889","29","67","70","58","128","298","532","377","273","56","1"
"충청북도 옥천군 청성면(4373034000)","2,294","2,294","32","47","69","77","109","334","748","439","367","69","3"
"충청북도 옥천군 청산면(4373035000)","2,823","2,823","36","105","101","93","165","437","822","596","402","63","3"
"충청북도 옥천군 이원면(4373036000)","3,934","3,934","67","140","190","198","304","640","1,076","730","484","103","2"
"충청북도 옥천군 군서면(4373037000)","2,078","2,078","29","60","96","82","144","340","605","402","258","62","0"
"충청북도 옥천군 군북면(4373038000)","2,887","2,887","50","89","138","139","214","558","865","491","292","50","1"
"충청북도 영동군 (4374000000)","43,848","43,848","1,511","2,847","3,198","2,585","4,246","7,829","10,285","6,388","4,316","623","20"
"충청북도 영동군 영동읍(4374025000)","19,247","19,247","1,058","1,821","2,004","1,559","2,538","3,528","3,400","2,007","1,195","132","5"
"충청북도 영동군 용산면(4374031000)","3,259","3,259","56","123","197","182","250","609","909","537","343","49","4"
"충청북도 영동군 황간면(4374032000)","3,958","3,958","95","244","208","197","323","707","1,049","673","422","38","2"
"충청북도 영동군 추풍령면(4374033500)","2,143","2,143","44","82","98","80","158","388","600","392","255","45","1"
"충청북도 영동군 매곡면(4374034000)","1,824","1,824","43","71","82","70","113","318","500","316","254","55","2"
"충청북도 영동군 상촌면(4374035000)","2,157","2,157","27","89","64","79","114","356","622","451","302","52","1"
"충청북도 영동군 양강면(4374036000)","2,981","2,981","64","129","210","141","210","540","792","481","357","56","1"
"충청북도 영동군 용화면(4374037000)","943","943","19","46","31","24","61","168","273","138","159","22","2"
"충청북도 영동군 학산면(4374038000)","2,643","2,643","44","89","115","89","161","439","784","482","374","65","1"
"충청북도 영동군 양산면(4374039000)","1,744","1,744","14","69","73","47","119","298","482","336","255","50","1"
"충청북도 영동군 심천면(4374040000)","2,949","2,949","47","84","116","117","199","478","874","575","400","59","0"
"충청북도 증평군 (4374500000)","37,316","37,316","2,526","3,382","4,063","4,549","5,404","6,340","5,946","3,095","1,760","246","5"
"충청북도 증평군 증평읍(4374525000)","35,632","35,632","2,497","3,323","3,970","4,464","5,279","6,045","5,487","2,798","1,550","214","5"
"충청북도 증평군 도안면(4374531000)","1,684","1,684","29","59","93","85","125","295","459","297","210","32","0"
"충청북도 진천군 (4375000000)","86,751","86,751","6,538","8,411","8,354","11,053","14,300","14,620","12,796","6,176","3,845","650","8"
"충청북도 진천군 진천읍(4375025000)","29,755","29,755","1,633","2,908","3,629","2,930","4,555","5,665","4,537","2,357","1,341","200","0"
"충청북도 진천군 덕산읍(4375025300)","31,174","31,174","4,028","3,784","2,591","5,853","6,569","4,019","2,633","1,024","571","99","3"
"충청북도 진천군 덕산읍혁신도시출장소(4375025400)","0","0","0","0","0","0","0","0","0","0","0","0","0"
"충청북도 진천군 초평면(4375032000)","2,942","2,942","54","129","172","133","237","498","794","470","375","79","1"
"충청북도 진천군 문백면(4375033000)","3,362","3,362","73","133","179","232","291","616","921","503","357","57","0"
"충청북도 진천군 백곡면(4375034000)","2,047","2,047","36","55","80","90","150","338","611","380","260","46","1"
"충청북도 진천군 이월면(4375035000)","6,363","6,363","153","338","520","516","688","1,187","1,571","771","515","101","3"
"충청북도 진천군 광혜원면(4375037000)","11,108","11,108","561","1,064","1,183","1,299","1,810","2,297","1,729","671","426","68","0"
"충청북도 괴산군 (4376000000)","36,165","36,165","1,070","1,725","2,007","1,985","3,175","6,513","9,783","5,685","3,621","590","11"
"충청북도 괴산군 괴산읍(4376025000)","9,169","9,169","452","794","881","821","1,236","1,668","1,649","1,008","574","82","4"
"충청북도 괴산군 감물면(4376031000)","2,002","2,002","42","103","84","83","149","344","611","327","209","49","1"
"충청북도 괴산군 장연면(4376032000)","1,885","1,885","39","52","66","66","122","366","599","323","212","40","0"
"충청북도 괴산군 연풍면(4376033000)","2,196","2,196","40","74","84","93","161","344","703","390","273","34","0"
"충청북도 괴산군 칠성면(4376034000)","3,108","3,108","89","115","163","153","270","609","854","473","336","46","0"
"충청북도 괴산군 문광면(4376035000)","2,157","2,157","41","89","110","99","166","392","616","372","227","45","0"
"충청북도 괴산군 청천면(4376036000)","5,063","5,063","105","164","173","183","320","913","1,642","907","572","83","1"
"충청북도 괴산군 청안면(4376037000)","3,276","3,276","98","104","142","145","223","601","970","541","382","67","3"
"충청북도 괴산군 사리면(4376039000)","2,546","2,546","52","77","131","125","201","449","701","444","316","49","1"
"충청북도 괴산군 소수면(4376040000)","2,141","2,141","70","66","81","107","154","358","661","398","204","42","0"
"충청북도 괴산군 불정면(4376041000)","2,622","2,622","42","87","92","110","173","469","777","502","316","53","1"
"충청북도 음성군 (4377000000)","90,245","90,245","4,236","7,029","8,031","8,515","12,071","17,388","17,859","8,961","5,272","852","31"
"충청북도 음성군 음성읍(4377025000)","16,355","16,355","683","1,209","1,362","1,311","2,004","3,148","3,501","1,917","1,061","155","4"
"충청북도 음성군 금왕읍(4377025300)","19,069","19,069","876","1,734","1,864","1,712","2,809","3,975","3,491","1,569","896","137","6"
"충청북도 음성군 소이면(4377031000)","2,782","2,782","38","95","122","135","187","429","788","532","394","61","1"
"충청북도 음성군 원남면(4377032000)","3,016","3,016","52","114","122","144","193","470","913","573","356","75","4"
"충청북도 음성군 맹동면(4377033000)","13,131","13,131","1,136","1,315","1,292","2,168","2,337","1,935","1,666","779","437","65","1"
"충청북도 음성군 대소면(4377034000)","15,172","15,172","755","1,386","1,557","1,497","2,359","3,420","2,499","1,032","574","91","2"
"충청북도 음성군 삼성면(4377035000)","6,508","6,508","184","328","458","489","684","1,320","1,665","783","506","87","4"
"충청북도 음성군 생극면(4377036000)","4,436","4,436","113","206","302","265","403","867","1,154","639","404","79","4"
"충청북도 음성군 감곡면(4377037000)","9,776","9,776","399","642","952","794","1,095","1,824","2,182","1,137","644","102","5"
"충청북도 단양군 (4380000000)","27,566","27,566","890","1,654","1,714","1,679","2,614","5,051","7,179","4,015","2,430","329","11"
"충청북도 단양군 단양읍(4380025000)","10,269","10,269","538","871","907","924","1,332","1,887","2,072","1,053","595","88","2"
"충청북도 단양군 매포읍(4380025300)","4,896","4,896","167","321","369","297","524","958","1,033","731","450","46","0"
"충청북도 단양군 대강면(4380031000)","2,341","2,341","39","81","93","86","136","415","742","428","274","46","1"
"충청북도 단양군 가곡면(4380032000)","2,011","2,011","37","108","82","68","119","353","638","362","210","32","2"
"충청북도 단양군 영춘면(4380033000)","3,092","3,092","45","141","101","108","235","598","928","563","332","41","0"
"충청북도 단양군 어상천면(4380034000)","1,863","1,863","20","40","61","64","99","321","699","315","215","28","1"
"충청북도 단양군 적성면(4380035000)","1,473","1,473","19","20","30","63","83","231","533","289","175","27","3"
"충청북도 단양군 단성면(4380036000)","1,621","1,621","25","72","71","69","86","288","534","274","179","21","2"
"충청남도  (4400000000)","2,134,817","2,134,817","139,378","201,846","222,968","251,512","321,067","353,816","329,905","182,468","111,629","19,727","501"
"충청남도 천안시 (4413000000)","658,320","658,320","48,132","67,549","88,924","96,871","110,702","109,802","80,924","34,656","17,802","2,881","77"
"충청남도 천안시 동남구 (4413100000)","260,592","260,592","15,995","25,453","33,543","31,932","40,717","45,751","38,542","17,817","9,274","1,526","42"
"충청남도 천안시 동남구 목천읍(4413125000)","22,863","22,863","1,031","2,199","2,468","1,987","3,490","4,903","3,745","1,799","1,038","199","4"
"충청남도 천안시 동남구 풍세면(4413131000)","8,402","8,402","564","460","966","1,270","1,187","1,359","1,463","652","391","89","1"
"충청남도 천안시 동남구 광덕면(4413132000)","4,074","4,074","74","142","249","252","364","719","1,176","634","377","86","1"
"충청남도 천안시 동남구 북면(4413133000)","4,211","4,211","75","184","278","256","436","816","1,156","602","339","65","4"
"충청남도 천안시 동남구 성남면(4413134000)","2,921","2,921","50","120","188","143","254","507","807","485","307","60","0"
"충청남도 천안시 동남구 수신면(4413135000)","2,135","2,135","25","75","149","143","185","370","575","326","252","35","0"
"충청남도 천안시 동남구 병천면(4413136000)","6,081","6,081","166","312","711","513","683","1,125","1,356","690","434","91","0"
"충청남도 천안시 동남구 동면(4413137000)","1,966","1,966","15","39","102","76","137","336","575","370","262","52","2"
"충청남도 천안시 동남구 중앙동(4413151000)","4,905","4,905","143","212","436","472","530","887","1,111","709","366","39","0"
"충청남도 천안시 동남구 문성동(4413152000)","7,884","7,884","620","684","1,051","1,363","1,297","1,185","988","463","204","29","0"
"충청남도 천안시 동남구 원성1동(4413153000)","7,966","7,966","291","528","868","738","1,006","1,499","1,649","879","431","75","2"
"충청남도 천안시 동남구 원성2동(4413154000)","9,054","9,054","235","563","960","857","1,101","1,762","1,817","1,038","633","88","0"
"충청남도 천안시 동남구 봉명동(4413155000)","16,615","16,615","800","1,255","2,257","2,262","2,492","3,086","2,655","1,181","555","68","4"
"충청남도 천안시 동남구 일봉동(4413156000)","21,855","21,855","1,318","3,062","2,425","1,958","3,839","4,152","3,004","1,363","641","89","4"
"충청남도 천안시 동남구 신방동(4413157000)","43,363","43,363","3,014","5,570","5,729","5,844","8,267","7,682","4,628","1,691","815","116","7"
"충청남도 천안시 동남구 청룡동(4413158000)","58,716","58,716","5,301","7,132","6,815","8,405","10,494","9,668","6,730","2,699","1,260","209","3"
"충청남도 천안시 동남구 신안동(4413159000)","37,581","37,581","2,273","2,916","7,891","5,393","4,955","5,695","5,107","2,236","969","136","10"
"충청남도 천안시 서북구 (4413300000)","397,728","397,728","32,137","42,096","55,381","64,939","69,985","64,051","42,382","16,839","8,528","1,355","35"
"충청남도 천안시 서북구 성환읍(4413325000)","22,419","22,419","670","1,877","2,416","1,686","3,015","4,271","4,313","2,496","1,445","223","7"
"충청남도 천안시 서북구 성거읍(4413325300)","21,514","21,514","1,265","2,141","2,420","2,372","3,747","4,223","3,090","1,444","692","116","4"
"충청남도 천안시 서북구 직산읍(4413325600)","19,437","19,437","1,009","1,635","2,318","2,430","3,294","3,711","2,889","1,291","748","109","3"
"충청남도 천안시 서북구 입장면(4413331000)","7,883","7,883","184","434","695","604","854","1,626","1,817","983","586","99","1"
"충청남도 천안시 서북구 성정1동(4413351000)","16,975","16,975","714","1,015","2,292","2,507","2,376","3,198","2,876","1,293","624","77","3"
"충청남도 천안시 서북구 성정2동(4413352000)","25,127","25,127","620","1,019","5,551","5,725","3,891","3,640","2,963","1,149","479","87","3"
"충청남도 천안시 서북구 쌍용1동(4413353000)","12,963","12,963","590","1,073","2,026","1,650","1,741","2,236","2,257","907","403","79","1"
"충청남도 천안시 서북구 쌍용2동(4413354000)","35,093","35,093","2,151","4,101","5,443","4,383","5,573","6,831","4,318","1,466","699","128","0"
"충청남도 천안시 서북구 쌍용3동(4413355000)","17,550","17,550","890","1,933","2,354","2,003","2,619","3,396","2,557","1,101","597","98","2"
"충청남도 천안시 서북구 백석동(4413356000)","39,471","39,471","3,888","6,079","4,567","5,331","8,055","6,366","3,501","1,096","495","92","1"
"충청남도 천안시 서북구 불당1동(4413356600)","32,051","32,051","3,012","4,356","4,211","5,514","6,019","5,550","2,382","657","296","52","2"
"충청남도 천안시 서북구 불당2동(4413356700)","37,115","37,115","5,094","6,005","3,788","6,529","8,896","4,554","1,592","445","188","23","1"
"충청남도 천안시 서북구 부성1동(4413358000)","50,679","50,679","3,747","4,139","10,340","10,210","7,850","7,726","4,287","1,500","779","97","4"
"충청남도 천안시 서북구 부성2동(4413359000)","59,451","59,451","8,303","6,289","6,960","13,995","12,055","6,723","3,540","1,011","497","75","3"
"충청남도 공주시 (4415000000)","102,045","102,045","4,272","8,093","10,721","8,346","11,679","17,052","20,758","11,971","7,659","1,456","38"
"충청남도 공주시 유구읍(4415025000)","6,879","6,879","149","371","316","333","640","1,054","1,909","1,210","773","121","3"
"충청남도 공주시 이인면(4415031000)","3,008","3,008","63","114","131","162","209","490","819","543","392","83","2"
"충청남도 공주시 탄천면(4415032000)","2,787","2,787","58","105","128","170","188","402","729","509","397","95","6"
"충청남도 공주시 계룡면(4415033000)","5,165","5,165","98","237","257","227","379","880","1,469","912","593","109","4"
"충청남도 공주시 반포면(4415034000)","4,039","4,039","96","185","248","247","399","833","1,126","544","305","54","2"
"충청남도 공주시 의당면(4415036000)","4,346","4,346","110","261","377","313","436","826","1,084","531","341","65","2"
"충청남도 공주시 정안면(4415037000)","4,649","4,649","77","379","226","205","341","683","1,272","765","549","150","2"
"충청남도 공주시 우성면(4415038000)","4,908","4,908","127","220","270","269","419","816","1,256","799","619","111","2"
"충청남도 공주시 사곡면(4415039000)","2,746","2,746","46","140","112","112","186","489","701","485","412","61","2"
"충청남도 공주시 신풍면(4415040000)","3,051","3,051","60","79","115","132","250","520","930","561","331","71","2"
"충청남도 공주시 중학동(4415051000)","4,285","4,285","148","332","576","333","443","712","792","543","338","66","2"
"충청남도 공주시 웅진동(4415054000)","7,483","7,483","339","564","726","720","978","1,268","1,435","849","516","88","0"
"충청남도 공주시 금학동(4415055000)","5,301","5,301","181","609","815","404","660","864","977","475","266","48","2"
"충청남도 공주시 옥룡동(4415056000)","7,187","7,187","196","440","616","550","820","1,329","1,619","936","593","85","3"
"충청남도 공주시 신관동(4415057000)","19,600","19,600","944","2,130","3,836","1,994","2,601","3,202","2,683","1,375","706","128","1"
"충청남도 공주시 월송동(4415059000)","16,611","16,611","1,580","1,927","1,972","2,175","2,730","2,684","1,957","934","528","121","3"
"충청남도 보령시 (4418000000)","94,655","94,655","4,580","7,421","7,612","7,800","12,076","16,401","18,727","11,805","7,009","1,191","33"
"충청남도 보령시 웅천읍(4418025000)","5,703","5,703","101","219","279","269","469","966","1,547","1,071","649","130","3"
"충청남도 보령시 주포면(4418031000)","1,538","1,538","34","72","119","65","127","248","392","292","155","34","0"
"충청남도 보령시 오천면(4418032000)","2,022","2,022","21","93","106","84","192","361","537","387","203","37","1"
"충청남도 보령시 오천면어항출장소(4418032500)","1,518","1,518","46","80","91","71","166","309","376","233","122","24","0"
"충청남도 보령시 원산출장소(4418032900)","1,026","1,026","9","57","63","35","95","178","255","201","116","17","0"
"충청남도 보령시 천북면(4418033000)","3,180","3,180","74","123","143","133","261","522","835","594","416","76","3"
"충청남도 보령시 청소면(4418034000)","2,378","2,378","44","76","100","98","142","350","628","453","410","74","3"
"충청남도 보령시 청라면(4418035000)","3,561","3,561","62","174","176","157","288","549","958","667","456","71","3"
"충청남도 보령시 남포면(4418036000)","4,803","4,803","101","202","278","228","352","809","1,323","843","555","108","4"
"충청남도 보령시 주산면(4418038000)","2,245","2,245","24","72","82","73","138","313","602","448","405","85","3"
"충청남도 보령시 미산면(4418039000)","1,625","1,625","33","50","51","55","130","223","420","348","266","49","0"
"충청남도 보령시 성주면(4418040000)","1,954","1,954","41","81","98","104","208","308","538","349","205","21","1"
"충청남도 보령시 주교면(4418041000)","4,893","4,893","111","281","316","253","541","939","1,172","731","452","96","1"
"충청남도 보령시 대천1동(4418051500)","12,900","12,900","666","1,238","1,297","1,197","1,815","2,394","2,198","1,360","638","95","2"
"충청남도 보령시 대천2동(4418052500)","6,183","6,183","318","534","564","588","910","1,137","1,021","661","403","47","0"
"충청남도 보령시 대천3동(4418053500)","15,551","15,551","1,224","1,865","1,633","1,763","2,804","2,648","2,038","1,011","499","65","1"
"충청남도 보령시 대천4동(4418054500)","17,757","17,757","1,506","1,907","1,857","2,221","2,818","3,083","2,406","1,265","605","85","4"
"충청남도 보령시 대천5동(4418056500)","5,818","5,818","165","297","359","406","620","1,064","1,481","891","454","77","4"
"충청남도 아산시 (4420000000)","351,686","351,686","30,507","38,629","38,798","51,952","63,246","54,464","40,626","20,303","11,273","1,847","41"
"충청남도 아산시 염치읍(4420025000)","5,893","5,893","180","392","477","424","704","1,108","1,281","732","517","78","0"
"충청남도 아산시 배방읍(4420025300)","88,092","88,092","8,327","10,461","11,513","15,620","16,562","12,743","7,679","3,450","1,486","248","3"
"충청남도 아산시 송악면(4420031000)","4,035","4,035","118","337","248","196","444","741","941","573","366","68","3"
"충청남도 아산시 탕정면(4420033000)","45,872","45,872","7,243","6,312","4,492","9,666","10,170","4,738","2,003","772","393","83","0"
"충청남도 아산시 음봉면(4420035000)","22,795","22,795","2,286","2,178","2,395","4,076","4,137","3,230","2,626","1,110","634","117","6"
"충청남도 아산시 둔포면(4420036000)","23,674","23,674","2,397","1,872","2,092","4,498","4,471","3,320","2,875","1,287","730","127","5"
"충청남도 아산시 영인면(4420037000)","5,318","5,318","124","218","329","359","472","869","1,376","839","602","128","2"
"충청남도 아산시 인주면(4420038000)","5,716","5,716","149","303","395","462","706","1,161","1,263","695","476","101","5"
